"Team","Decision","optimal_decision","lineout_ep_mean","lineout_ep_lo_2_5","lineout_ep_hi_97_5","kick_ep_mean","kick_ep_lo_2_5","kick_ep_hi_97_5","delta_ep_mean","delta_ep_lo_2_5","delta_ep_hi_97_5","pr_lineout_better","R_mean","R_lo_2_5","R_hi_97_5"
"NZ","kick","kick",1.46322495695104,1.04520617057623,1.91442839642131,1.9858946240218,1.37435034987215,2.55607961292423,-0.522669667070752,-1.23039195114726,0.25135346962744,0.08,0.0160212221791542,0,0.25135346962744
"NZ","lineout","kick",1.90020108825406,1.43104193812614,2.4554065739928,2.21300234609491,1.51394563707644,2.86598968177693,-0.312801257840854,-1.1225871765277,0.568384161902417,0.2335,0.37650049465121,0,1.1225871765277
"SA","lineout","kick",1.33837670143243,0.922849619391386,1.76146123466021,1.94081407585178,1.4117734289281,2.4408571793268,-0.602437374419358,-1.23197509105903,0.0815336706976148,0.042,0.608519875923372,0,1.23197509105903
"SA","kick","lineout",2.88957238062261,2.29146305884839,3.41799388543462,2.59026902905773,2.09995870907335,3.05216973243152,0.299303351564886,-0.415604415554747,1.03684822397628,0.78,0.345239330068167,0,1.03684822397628
"SA","kick","kick",1.53658421761108,1.10592799875869,1.99631220248908,1.89944603665473,1.1654653598895,2.57900220469995,-0.362861819043649,-1.15483897719685,0.517007123282863,0.203,0.0497911217211077,0,0.517007123282863
"SA","lineout","kick",0.884723280780013,0.405149438624526,1.35179467076855,1.67730460433468,1.0504474710312,2.26862055676946,-0.792581323554664,-1.55778361194966,-0.0297533236288028,0.0195,0.79596849393228,0.0297533236288028,1.55778361194966
"NZ","kick","lineout",3.11929515076395,2.5797274150719,3.61908923973403,2.72481385499476,2.39616988225884,3.03524074463662,0.394481295769186,-0.21580347502648,1.00498499308262,0.8935,0.410203790177629,0,1.00498499308262
"SA","lineout","kick",1.68368231153796,1.23800398709675,2.18970359333283,2.24378872892533,1.65641529214538,2.78306398329583,-0.560106417387367,-1.25802414080664,0.220078227978739,0.07,0.57395946026011,0,1.25802414080664
"NZ","lineout","lineout",4.27361901207781,3.61189689710413,4.87805791164785,2.58840016696015,2.09919236170202,3.05097973343995,1.68521884511766,0.871789927954706,2.48376222405326,1,0,0,0
"NZ","lineout","lineout",4.27361901207781,3.61189689710413,4.87805791164785,2.69916805471853,2.32616139151294,3.03516868196437,1.57445095735928,0.8275468030591,2.29255403338765,1,0,0,0
"SA","lineout","lineout",2.68402450527283,2.05209320773971,3.2610894020482,2.57090490385959,2.05954949526201,3.0546490326474,0.113119601413233,-0.652829108181565,0.8916147105879,0.62,0.107800557828543,0,0.652829108181565
"SA","lineout","kick",0.799676763749872,0.341256429254904,1.23461956464411,1.31804128146939,0.694568100813001,1.90745640194479,-0.518364517719519,-1.26014507068796,0.218089674013478,0.091,0.534039599790783,0,1.26014507068796
"SA","lineout","kick",1.80715768725637,1.09131071336108,2.65983434372381,2.89406243394259,2.76733157607494,3.01379981230461,-1.08690474668622,-1.83246695341714,-0.22195435974694,0.0065,1.08853007374399,0.221954359746939,1.83246695341714
