"component","mean","lo_2_5","hi_97_5"
"p_make",0.769047575447808,0.760511628320444,0.77708002161558
"miss_ep",1.60206809328729,0.0122151387187671,3.00700606100247
"kick_ep",2.67711911516743,2.31084511152721,3.00163926737894
"lineout_ep_20m_shift",2.91152049417342,2.31684362116297,3.42477595170952
"delta_ep_20m_shift",0.23440137900599,-0.440198293814564,0.863318774660282
