"y","kick_ep_mean","kick_ep_lo_2_5","kick_ep_hi_97_5"
5,2.98596149848197,2.96826547828711,3.00182051830817
6,2.98450807908791,2.9649958331029,3.00201385104365
7,2.98290604016476,2.96148989095216,3.00222379825171
8,2.98114059742369,2.95750400741736,3.00245531767162
9,2.97919558634049,2.95337709256421,3.00271048013416
10,2.97705335308372,2.94866031888547,3.00299154736021
11,2.97469464125825,2.94342265573806,3.00330119132118
12,2.97209847542055,2.93776309724759,3.00364219394802
13,2.96924204266366,2.93159205856804,3.004015900386
14,2.96610057397997,2.92483041284753,3.00442372501736
15,2.96264722759588,2.9174205703,3.00487175005519
16,2.95885297704333,2.90930454189124,3.00536368063779
17,2.9546865073942,2.90014795506966,3.00590350912054
18,2.95011412383961,2.88978133390594,3.00649552575376
19,2.94509967764792,2.87846316187149,3.00714432702908
20,2.93960451547723,2.8660725198781,3.00785482093271
21,2.93358745904056,2.85357155083175,3.00863222821924
22,2.92700482320105,2.8394006697033,3.00948697241836
23,2.91981048167814,2.82354863239613,3.0104280785584
24,2.911955990623,2.80652697142992,3.01145607964583
25,2.90339078130429,2.78775896716862,3.01257767508147
26,2.89406243394259,2.76733157607494,3.01379981230461
27,2.88391704522794,2.74513020957274,3.01512963800716
28,2.87289970211021,2.72014993980752,3.01657443512431
29,2.86095507389951,2.69367809208127,3.01814154398025
30,2.84802813337066,2.66501159961041,3.01983826614762
31,2.83406501523338,2.63376413250532,3.02167174989283
32,2.81449671915703,2.60119049217084,3.01317313903041
33,2.79298603514543,2.56659867460168,3.00220044684347
34,2.7694034554544,2.52824148252966,2.99076069713881
35,2.74362249921926,2.48832979328447,2.97645233216587
36,2.7155222733856,2.44592622240355,2.96067902527686
37,2.68499033527905,2.40089242509645,2.94428916166737
38,2.6519258115594,2.35335874745772,2.92525441294612
39,2.61624270540048,2.30059962372709,2.90248984579436
40,2.57787329964399,2.24496142303869,2.87839394258162
41,2.5367715400842,2.19217969203496,2.85092538998851
42,2.49291626208773,2.13228603318107,2.82160623947662
43,2.44631410788076,2.07276685445549,2.79044766891273
44,2.39700197357646,2.00783580341321,2.75214110440473
45,2.34504882667812,1.9403346658787,2.71248854564919
46,2.29055678368195,1.87119410286434,2.67399657268251
47,2.23366138087824,1.80193148132608,2.62844449959644
48,2.17453066800723,1.73744061195058,2.58396985023852
49,2.11336333441402,1.66890186594973,2.53219821008964
50,2.05038587284524,1.59735238414279,2.47317199320767
51,1.98584882712905,1.52405994104196,2.4144448476323
52,1.92002225619935,1.44995201239838,2.35931015006835
53,1.85319059424588,1.37712420746319,2.30302499360202
54,1.78564712200623,1.30214804372332,2.24707434516268
55,1.71768828409718,1.22869549407513,2.17815631256389
56,1.64960344844229,1.14469778754909,2.12025520618557
57,1.58165434470584,1.07343426126576,2.06338109086332
58,1.51408198553651,1.01228767297692,2.00234982333651
59,1.44710716924524,0.945796645517408,1.94335391256538
60,1.38092751172095,0.872929819462287,1.87236857458097
61,1.31571534026292,0.799153411523578,1.81272196468952
62,1.25161644204462,0.73305526874458,1.75111677239411
63,1.18874961906704,0.664317499200548,1.70076523381546
64,1.12720696921386,0.592761158080248,1.64984346610595
65,1.06705479043692,0.53120870220029,1.60231833026276
