ID,Round,Home,Away,Phase,Team_In_Poss,Location,Side,Play_Start,Points_Difference,Seconds_Remaining,Yellow_Cards_Own,Yellow_Cards_Opp,Red_Cards_Own,Red_Cards_Opp,Outcome
23,1,Harlequins,Sale,1,Home,22m-10m (own),Centre,Turnover Steal,3,4392,0,0,0,0,Against Penalty Kick (-3)
24,1,Harlequins,Sale,1,Home,22m-10m (own),Centre,Scrum,3,4342,0,0,0,0,Against Penalty Kick (-3)
25,1,Harlequins,Sale,1,Home,10m-22m (opp),Right,Scrum,3,4286,0,0,0,0,Against Penalty Kick (-3)
26,1,Harlequins,Sale,2,Home,10m-22m (opp),Centre,Scrum,3,4274,0,0,0,0,Against Penalty Kick (-3)
27,1,Harlequins,Sale,3,Home,10m-22m (opp),Centre,Scrum,3,4268,0,0,0,0,Against Penalty Kick (-3)
28,1,Harlequins,Sale,1,Away,22m-10m (own),Centre,Turnover Steal,-3,4265,0,0,0,0,For Penalty Kick (+3)
29,1,Harlequins,Sale,2,Away,22m-10m (own),Right,Turnover Steal,-3,4250,0,0,0,0,For Penalty Kick (+3)
30,1,Harlequins,Sale,1,Away,10m-Half (own),Right,Scrum,-3,4122,0,0,0,0,For Penalty Kick (+3)
31,1,Harlequins,Sale,2,Away,Half-10m (opp),Centre,Scrum,-3,4111,0,0,0,0,For Penalty Kick (+3)
32,1,Harlequins,Sale,3,Away,Half-10m (opp),Left,Scrum,-3,4105,0,0,0,0,For Penalty Kick (+3)
33,1,Harlequins,Sale,4,Away,10m-22m (opp),Left,Scrum,-3,4097,0,0,0,0,For Penalty Kick (+3)
34,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Turnover Steal,3,4088,0,0,0,0,Against Penalty Kick (-3)
35,1,Harlequins,Sale,1,Away,10m-22m (opp),Left,Kick (Open Play),-3,4085,0,0,0,0,For Penalty Kick (+3)
36,1,Harlequins,Sale,2,Away,10m-22m (opp),Left,Kick (Open Play),-3,4076,0,0,0,0,For Penalty Kick (+3)
37,1,Harlequins,Sale,3,Away,22m-5m (opp),Centre,Kick (Open Play),-3,4068,0,0,0,0,For Penalty Kick (+3)
38,1,Harlequins,Sale,4,Away,22m-5m (opp),Right,Kick (Open Play),-3,4061,0,0,0,0,For Penalty Kick (+3)
39,1,Harlequins,Sale,5,Away,10m-22m (opp),Centre,Kick (Open Play),-3,4054,0,0,0,0,For Penalty Kick (+3)
40,1,Harlequins,Sale,6,Away,22m-5m (opp),Right,Kick (Open Play),-3,4045,0,0,0,0,For Penalty Kick (+3)
41,1,Harlequins,Sale,1,Home,5m-22m (own),Right,Turnover Steal,3,4009,0,0,0,0,Against Penalty Kick (-3)
42,1,Harlequins,Sale,1,Away,Half-10m (opp),Left,Kick (Open Play),-3,4001,0,0,0,0,For Penalty Kick (+3)
43,1,Harlequins,Sale,2,Away,10m-22m (opp),Centre,Kick (Open Play),-3,3993,0,0,0,0,For Penalty Kick (+3)
44,1,Harlequins,Sale,1,Away,10m-22m (opp),Centre,Scrum,-3,3958,0,0,0,0,For Penalty Kick (+3)
45,1,Harlequins,Sale,2,Away,10m-22m (opp),Right,Scrum,-3,3943,0,0,0,0,For Penalty Kick (+3)
46,1,Harlequins,Sale,3,Away,10m-22m (opp),Centre,Scrum,-3,3938,0,0,0,0,For Penalty Kick (+3)
47,1,Harlequins,Sale,4,Away,10m-22m (opp),Centre,Scrum,-3,3932,0,0,0,0,For Penalty Kick (+3)
48,1,Harlequins,Sale,5,Away,22m-5m (opp),Left,Scrum,-3,3924,0,0,0,0,For Penalty Kick (+3)
49,1,Harlequins,Sale,6,Away,22m-5m (opp),Left,Scrum,-3,3918,0,0,0,0,For Penalty Kick (+3)
50,1,Harlequins,Sale,7,Away,5m-Goal (opp),Right,Scrum,-3,3890,0,0,0,0,For Penalty Kick (+3)
51,1,Harlequins,Sale,1,Away,22m-10m (own),Right,Restart Kick,0,3763,0,0,0,0,Against Converted Try (-7)
52,1,Harlequins,Sale,2,Away,5m-22m (own),Right,Restart Kick,0,3748,0,0,0,0,Against Converted Try (-7)
53,1,Harlequins,Sale,1,Home,10m-Half (own),Left,Lineout,0,3713,0,0,0,0,For Converted Try (+7)
54,1,Harlequins,Sale,2,Home,10m-22m (opp),Centre,Lineout,0,3702,0,0,0,0,For Converted Try (+7)
55,1,Harlequins,Sale,1,Home,Half-10m (opp),Right,Scrum,0,3634,0,0,0,0,For Converted Try (+7)
56,1,Harlequins,Sale,1,Away,5m-22m (own),Right,Lineout,0,3588,0,0,0,0,Against Converted Try (-7)
57,1,Harlequins,Sale,1,Home,22m-5m (opp),Left,Turnover Steal,0,3577,0,0,0,0,For Converted Try (+7)
58,1,Harlequins,Sale,2,Home,22m-5m (opp),Centre,Turnover Steal,0,3570,0,0,0,0,For Converted Try (+7)
59,1,Harlequins,Sale,3,Home,22m-5m (opp),Right,Turnover Steal,0,3562,0,0,0,0,For Converted Try (+7)
60,1,Harlequins,Sale,4,Home,22m-5m (opp),Centre,Turnover Steal,0,3557,0,0,0,0,For Converted Try (+7)
61,1,Harlequins,Sale,5,Home,22m-5m (opp),Centre,Turnover Steal,0,3552,0,0,0,0,For Converted Try (+7)
62,1,Harlequins,Sale,6,Home,22m-5m (opp),Centre,Turnover Steal,0,3542,0,0,0,0,For Converted Try (+7)
63,1,Harlequins,Sale,1,Home,22m-10m (own),Right,Restart Kick,7,3416,0,0,0,0,Against Converted Try (-7)
64,1,Harlequins,Sale,2,Home,22m-10m (own),Centre,Restart Kick,7,3408,0,0,0,0,Against Converted Try (-7)
