"component","d_touch","mean","lo_2_5","hi_97_5"
"lineout_ep_d_touch_20m",20,2.88987266101323,2.2850540925292,3.41858355777796
"kick_attempt_ep",20,2.6801654029863,2.28882592273934,3.02328072616684
"delta_ep_d_touch_20m",20,0.209707258026925,-0.487963613799223,0.818497870941541
